Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Delivery_distance,Time_to_pick,Month,Time_of_Day_Ordered
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,0,DEH,46,10.28,15.0,Feb,Night
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,0,KOC,23,6.24,9.6,Feb,Evening
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,0,PUNE,21,13.79,10.2,Mar,Evening
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,0,LUDH,20,2.93,10.2,Feb,Morning
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,0,KNP,41,19.4,15.0,Feb,Night
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,0,MUM,20,13.76,9.6,Apr,Night
35.0,4.0,Windy,High,1,Meal,scooter,1.0,0,MYS,33,6.22,15.0,Mar,Evening
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,0,PUNE,40,16.85,10.2,Mar,Night
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,0,KOL,15,4.54,15.0,Feb,Night
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,0,PUNE,36,12.26,5.4,Mar,Night
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,0,RANCHI,26,19.62,15.0,Mar,Night
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,0,COIMB,20,1.56,15.0,Mar,Morning
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,0,CHEN,39,20.18,15.0,Mar,Night
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,0,MUM,34,6.12,4.8,Mar,Evening
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,0,CHEN,15,17.08,15.0,Mar,Night
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,0,JAP,18,4.47,5.4,Apr,Night
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,0,SUR,38,13.68,10.2,Mar,Night
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,0,BANG,47,13.97,15.0,Mar,Night
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,0,PUNE,12,16.85,10.2,Apr,Night
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,0,COIMB,26,4.67,15.0,Apr,Night
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,0,SUR,22,7.6,5.4,Mar,Night
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,0,GOA,21,7.72,9.6,Feb,Night
38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,0,GOA,25,6.18,5.4,Feb,Evening
32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,0,RANCHI,35,17.3,10.2,Mar,Night
