Delivery_person_Age,Delivery_person_Ratings,Delivery_distance,Time_to_pick,Festival,Weather_conditions,Road_traffic_density,Type_of_order,Type_of_vehicle,City,Time_of_Day_Ordered,Month,multiple_deliveries,Vehicle_condition,Time_taken (min)
24.0,4.9,20.21,15.0,No,Fog,Medium,Drinks,scooter,Metropolitian,Night,Mar,1.0,2,35
35.0,4.8,7.57,15.0,No,Fog,Low,Meal,motorcycle,Urban,Night,Mar,1.0,0,28
24.0,4.8,5.87,5.4,No,Fog,High,Snack,electric_scooter,Metropolitian,Evening,Feb,1.0,2,20
34.0,4.8,3.02,5.4,No,Sunny,Low,Snack,motorcycle,Metropolitian,Morning,Apr,1.0,1,18
32.0,4.4,10.72,4.8,No,Cloudy,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,2.0,1,39
26.0,4.8,9.44,4.8,No,Fog,Low,Drinks,motorcycle,Urban,Night,Feb,0.0,2,15
37.0,5.0,4.47,5.4,No,Stormy,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,1,25
22.0,4.5,4.6,15.0,No,Cloudy,Low,Meal,motorcycle,Metropolitian,Night,Mar,0.0,0,19
32.0,4.1,12.46,15.0,No,Sandstorms,Jam,Buffet,scooter,Metropolitian,Night,Mar,1.0,1,37
30.0,3.9,19.62,15.0,No,Stormy,Jam,Drinks,scooter,Metropolitian,Night,Mar,1.0,1,33
39.0,4.7,13.83,10.2,No,Cloudy,Medium,Buffet,scooter,Metropolitian,Night,Apr,2.0,1,39
25.0,4.9,1.55,10.2,No,Sunny,Low,Snack,scooter,Metropolitian,Morning,Mar,0.0,2,21
38.0,4.6,7.45,15.0,No,Cloudy,Jam,Buffet,motorcycle,Urban,Night,Mar,1.0,0,32
37.0,4.4,4.66,5.4,No,Stormy,Medium,Meal,motorcycle,Metropolitian,Night,Mar,1.0,0,32
36.0,4.9,6.12,4.8,No,Stormy,High,Buffet,motorcycle,Urban,Evening,Apr,1.0,1,31
28.0,4.8,4.66,4.8,No,Stormy,Jam,Snack,motorcycle,Metropolitian,Night,Mar,1.0,1,26
32.0,3.8,16.72,5.4,No,Windy,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,0.0,2,31
38.0,4.7,6.23,15.0,No,Stormy,Medium,Snack,scooter,Metropolitian,Evening,Mar,1.0,1,28
34.0,3.5,19.62,4.8,No,Windy,Jam,Drinks,scooter,Metropolitian,Night,Mar,1.0,1,44
30.0,4.9,20.21,5.4,No,Windy,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,2.0,0,44
24.0,4.5,10.72,5.4,No,Windy,Jam,Drinks,motorcycle,Urban,Night,Mar,1.0,2,20
26.0,4.7,1.55,9.6,No,Sunny,Low,Buffet,scooter,Urban,Morning,Mar,0.0,1,19
30.0,4.4,16.72,15.0,No,Fog,Low,Buffet,electric_scooter,Metropolitian,Night,Apr,1.0,2,35
32.0,4.0,19.36,15.0,No,Sandstorms,Jam,Buffet,motorcycle,Metropolitian,Night,Apr,2.0,0,44
29.0,4.8,7.72,15.0,No,Cloudy,Jam,Meal,motorcycle,Metropolitian,Night,Feb,0.0,2,30
32.0,4.4,16.85,5.4,No,Windy,Jam,Drinks,scooter,Metropolitian,Night,Apr,2.0,1,36
24.0,5.0,1.56,4.8,No,Sunny,Low,Meal,motorcycle,Metropolitian,Morning,Mar,1.0,2,17
38.0,4.5,7.79,10.2,No,Sandstorms,Low,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,0,24
