,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Delivery_distance,Time_to_pick,Day,Month,Time_of_Day_Ordered
0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,DEH,46,10.28,15.0,2,12,Night
1,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,KOC,23,6.24,9.6,13,2,Evening
2,23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,PUNE,21,13.79,10.2,3,4,Evening
3,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,LUDH,20,2.93,10.2,13,2,Morning
4,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,KNP,41,19.4,15.0,14,2,Night
5,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,MUM,20,13.76,9.6,4,2,Night
6,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,MYS,33,6.22,15.0,3,1,Evening
7,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,PUNE,40,16.85,10.2,16,3,Night
9,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,KOL,15,4.54,15.0,15,2,Night
10,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,PUNE,36,12.26,5.4,16,3,Night
11,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,RANCHI,26,19.62,15.0,3,10,Night
12,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,COIMB,20,1.56,15.0,3,11,Morning
13,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,CHEN,39,20.18,15.0,27,3,Night
14,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,MUM,34,6.12,4.8,26,3,Evening
15,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,CHEN,15,17.08,15.0,27,3,Night
16,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,JAP,18,4.47,5.4,4,5,Night
17,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,SUR,38,13.68,10.2,3,12,Night
18,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,BANG,47,13.97,15.0,16,3,Night
19,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,PUNE,12,16.85,10.2,4,2,Night
20,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,COIMB,26,4.67,15.0,4,1,Night
21,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,SUR,22,7.6,5.4,3,5,Night
22,26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,GOA,21,7.72,9.6,2,11,Night
23,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,GOA,25,6.18,5.4,2,11,Evening
24,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,RANCHI,35,17.3,10.2,3,8,Night
25,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,PUNE,30,19.91,10.2,4,2,Night
26,33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,PUNE,22,10.72,15.0,3,8,Night
27,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,PUNE,10,6.13,10.2,4,3,Evening
29,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,HYD,11,3.07,10.2,4,1,Morning
30,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,BANG,11,3.11,15.0,28,3,Morning
32,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,CHEN,33,10.87,4.8,14,3,Evening
34,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,SUR,52,13.68,4.8,4,4,Night
35,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,MUM,22,16.83,15.0,3,8,Night
37,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,MUM,11,9.18,4.8,24,3,Night
39,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,CHEN,26,6.21,10.2,3,9,Evening
40,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,SUR,18,1.52,10.2,19,3,Morning
41,31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,RANCHI,16,6.04,4.8,4,3,Evening
42,31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,BANG,23,17.08,10.2,25,3,Night
43,25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,AURG,15,4.72,15.0,13,2,Night
44,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,COIMB,36,12.46,10.2,4,4,Night
45,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,SUR,16,9.12,15.0,26,3,Night
48,39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,VAD,49,12.58,15.0,3,2,Night
50,36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,VAD,30,9.44,4.8,13,3,Night
51,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,JAP,18,11.92,9.6,29,3,Night
53,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,SUR,34,10.64,15.0,3,12,Night
54,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,MUM,24,16.82,5.4,31,3,Night
55,36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,PUNE,17,6.13,15.0,17,3,Evening
